step,time_hours,demand,solar,price,soc,battery_flow_mw,emergency_generator_mw,curtail_solar_mw,fcas_reserve_mw,net_grid_power_mw,unmet_demand_mw,overvoltage_mw,step_cost,cum_cost
103,25.75,36.0,0.0,133.0,0.002631578947368582,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,338981.8434349031
104,26.0,35.0,0.0,130.0,0.002631578947368582,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,340425.603434903
105,26.25,35.0,0.0,128.0,0.002631578947368582,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,341851.853434903
106,26.5,34.0,0.0,125.0,0.002631578947368582,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,343211.86343490303
107,26.75,34.0,0.0,122.0,0.002631578947368582,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,344546.36343490303
108,27.0,34.0,0.0,120.0,0.002631578947368582,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,345863.86343490303
109,27.25,33.0,0.0,118.0,0.002631578947368582,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,347126.12343490304
110,27.5,33.0,0.0,115.0,0.002631578947368582,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,348363.62343490304
111,27.75,32.0,0.0,113.0,0.002631578947368582,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,349547.63343490305
112,28.0,32.0,0.0,110.0,0.002631578947368582,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,350707.63343490305
113,28.25,32.0,0.0,110.0,0.002631578947368582,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,351867.63343490305
114,28.5,32.0,0.0,110.0,0.002631578947368582,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,353027.63343490305
115,28.75,32.0,0.0,110.0,0.002631578947368582,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,354187.63343490305
116,29.0,32.0,0.0,110.0,0.002631578947368582,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,355347.63343490305
117,29.25,32.0,0.0,115.0,0.002631578947368582,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,356547.63343490305
118,29.5,33.0,0.0,120.0,0.002631578947368582,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,357826.39343490306
119,29.75,34.0,0.0,125.0,0.002631578947368582,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,359186.40343490307
120,30.0,34.0,0.0,130.0,0.002631578947368582,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,360588.90343490307
121,30.25,35.0,0.0,134.0,0.002631578947368582,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,362067.663434903
122,30.5,36.0,1.0,138.0,0.002631578947368582,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,363581.413434903
123,30.75,37.0,4.0,141.0,0.002631578947368582,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,365033.45343490306
124,31.0,38.0,6.0,145.0,0.002631578947368582,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,366473.46343490307
125,31.25,40.0,9.0,149.0,0.002631578947368582,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,367899.4734349031
126,31.5,42.0,12.0,152.0,0.002631578947368582,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,369301.983434903
127,31.75,43.0,18.0,156.0,0.002631578947368582,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,370495.983434903
128,32.0,45.0,24.0,160.0,0.002631578947368582,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,371519.89343490306
129,32.25,46.0,29.0,150.0,0.002631578947368582,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,372306.30343490303
130,32.5,48.0,34.0,140.0,0.002631578947368582,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,372918.89343490306
131,32.75,49.0,39.0,130.0,0.002631578947368582,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,373331.55343490303
132,33.0,50.0,44.0,120.0,0.002631578947368582,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,373564.21343490307
133,33.25,50.0,48.0,105.0,0.002631578947368582,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,373634.37343490304
134,33.5,49.0,53.0,90.0,0.012131578947368582,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373684.413434903
135,33.75,48.0,58.0,75.0,0.035881578947368584,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373809.413434903
136,34.0,48.0,62.0,60.0,0.06913157894736857,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373984.413434903
137,34.25,47.0,67.0,50.0,0.11663157894736857,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374234.413434903
138,34.5,46.0,72.0,40.0,0.17838157894736856,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374559.413434903
139,34.75,45.0,76.0,30.0,0.25200657894736855,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374946.913434903
140,35.0,44.0,80.0,20.0,0.3375065789473686,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375396.913434903
141,35.25,43.0,83.0,13.0,0.43250657894736855,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375896.913434903
142,35.5,42.0,86.0,5.0,0.5370065789473686,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376446.913434903
143,35.75,41.0,90.0,-2.0,0.6557565789473686,-50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,377080.17343490303
144,36.0,40.0,94.0,-10.0,0.7745065789473686,-50.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,377655.42343490303
145,36.25,40.0,95.0,-13.0,0.8932565789473687,-50.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,378217.93343490304
146,36.5,39.0,96.0,-15.0,1.0,-44.94459833795004,0.0,0.0,0.0,-12.05540166204996,0.0,0.0,0.0,378629.54618027795
147,36.75,38.0,94.0,-18.0,1.0,0.0,0.0,6.0,0.0,-50.0,0.0,0.0,0.0,378018.9441057082
148,37.0,38.0,92.0,-20.0,1.0,0.0,0.0,4.0,0.0,-50.0,0.0,0.0,0.0,377393.9441057082
149,37.25,38.0,89.0,-15.0,1.0,0.0,0.0,1.0,0.0,-50.0,0.0,0.0,0.0,376768.9441057082
150,37.5,39.0,86.0,-10.0,1.0,0.0,0.0,0.0,0.0,-47.0,0.0,0.0,0.0,376181.5341057082
151,37.75,40.0,82.0,-5.0,1.0,0.0,0.0,0.0,0.0,-42.0,0.0,0.0,0.0,375656.7841057082
152,38.0,40.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,-38.0,0.0,0.0,0.0,375181.9441057082
153,38.25,41.0,74.0,10.0,1.0,0.0,0.0,0.0,0.0,-33.0,0.0,0.0,0.0,374769.6941057082
154,38.5,42.0,71.0,20.0,1.0,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,374407.3541057082
155,38.75,43.0,68.0,30.0,1.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,374095.0141057082
156,39.0,44.0,64.0,40.0,1.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,373845.2641057082
157,39.25,47.0,60.0,60.0,1.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,373683.2541057082
158,39.5,50.0,55.0,80.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,373621.3941057082
159,39.75,53.0,50.0,100.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,373723.28410570824
160,40.0,56.0,46.0,120.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,374111.27410570823
161,40.25,61.0,40.0,160.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,375136.2341057082
162,40.5,66.0,34.0,200.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,377017.4441057082
163,40.75,75.0,28.0,240.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,380250.9441057082
164,41.0,84.0,22.0,280.0,1.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,385135.6941057082
165,41.25,92.0,17.0,330.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,391981.1341057082
166,41.5,100.0,12.0,380.0,1.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,401112.8241057082
167,41.75,106.0,8.0,420.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,412261.3241057082
168,42.0,112.0,5.0,460.0,0.9447368421052632,21.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,423167.7641057082
169,42.25,114.0,3.0,480.0,0.8131578947368422,50.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,431652.7641057082
170,42.5,116.0,1.0,500.0,0.6815789473684212,50.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,440971.6741057082
171,42.75,117.0,0.0,510.0,0.5500000000000002,50.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,450725.46410570823
172,43.0,118.0,0.0,520.0,0.41842105263157914,50.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,460785.4741057082
173,43.25,117.0,0.0,520.0,0.2868421052631581,50.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,470706.7341057082
174,43.5,116.0,0.0,520.0,0.15526315789473707,50.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,480489.2441057082
175,43.75,113.0,0.0,500.0,0.02368421052631603,50.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,489540.5841057082
176,44.0,110.0,0.0,480.0,3.469446951953614e-18,9.00000000000009,0.0,0.0,0.0,100.99999999999991,0.0,0.0,0.0,505671.2741057081
177,44.25,105.0,0.0,455.0,0.0,1.3183898417423734e-15,0.0,0.0,0.0,105.0,0.0,0.0,0.0,522533.9341057082
178,44.5,100.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,534159.1841057083
179,44.75,94.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,544499.5441057082
180,45.0,88.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,553629.9041057082
181,45.25,82.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,561522.7641057082
182,45.5,77.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,568356.7641057082
183,45.75,72.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,574207.0141057082
184,46.0,66.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,579074.8741057082
185,46.25,62.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,583337.5341057082
186,46.5,58.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,587035.1941057082
187,46.75,54.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,590207.8541057082
188,47.0,50.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,592895.5141057082
189,47.25,48.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,595379.5541057083
190,47.5,45.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,597629.6441057082
191,47.75,42.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,599656.2341057082
192,48.0,39.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,601362.5741057082
193,48.25,38.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,603006.0841057082
194,48.5,38.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,604621.0841057082
195,48.75,37.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,606175.0941057082
196,49.0,36.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,607660.1041057082
197,49.25,36.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,609127.1041057082
198,49.5,35.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,610527.1141057082
199,49.75,35.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,611900.8641057082
200,50.0,34.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,613218.3741057082
201,50.25,34.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,614510.3741057082
202,50.5,33.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,615747.8841057082
203,50.75,33.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,616968.8841057082
204,51.0,32.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,618128.8941057082
205,51.25,32.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,619264.8941057082
206,51.5,32.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,620384.8941057082
207,51.75,31.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,621454.4041057082
208,52.0,31.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,622500.6541057082
209,52.25,31.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,623546.9041057082
210,52.5,31.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,624593.1541057082
211,52.75,31.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,625639.4041057082
212,53.0,31.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,626685.6541057082
213,53.25,32.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,627805.6641057082
214,53.5,32.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,628965.6641057082
215,53.75,32.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,630165.6641057082
